Modules;Description
:func:`Becke<horton_part.becke>`; Becke partitioning method
:func:`Hirshfeld<horton_part.hirshfeld>`; Hirshfeld partitioning method
:func:`Hirshfeld-I<horton_part.hirshfeld_i>`; Iterative Hirshfeld partitioning method
:func:`ISA<horton_part.isa>`; Iterative Stockholder analysis (ISA) method
:func:`MBIS<horton_part.mbis>`; Minimal Basis Iterative Stockholder (MBIS) method
:func:`GISA<horton_part.gisa>`; Gaussian iterative stockholder approach (GISA)
:func:`aLISA<horton_part.alisa>`; Alternating Linear approximation of the ISA method (aLISA)
:func:`gLISA<horton_part.glisa>`; Global linear approximation of the ISA method (gLISA)
:func:`GMBIS<horton_part.gmbis>`; Generalized Minimal Basis Iterative Stockholder (MBIS) method
:func:`NLIS<horton_part.nlis>`; Non-linear approximation of the ISA method (NLIS) method
